Bedrooms Bathrooms SqFt ZipCode Price
4 2 1075 x 799900
3 2 1339 x 875000
4 2 1080 x 888000
4 2 1800 x 899000
5 2 1170 x 890200
5 2 1287 x 949888
4 2 1440 x 1049000
3 3 729 x 1150000
5 3 1300 x 749000
3 2 1045 x 749900
3 3 1475 x 825000
5 2 1120 x 829000
5 3 1330 x 849000
4 2 1100 x 860000
5 2 1660 x 948000
3 2 1180 x 688000
3 1 930 x 699900
3 2 1120 x 599000
3 1 1050 x 599900
4 3 1380 x 998000
3 2 1000 x 1200000
4 3 1210 x 775000
3 2 1210 x 969000
5 3 2210 x 1018000
6 3 2010 x 800000
3 2 1150 x 1079000
3 2 1750 x 1249000
2 1 1227 x 649900
5 4 1500 x 666000
4 2 1200 x 688800
3 1 1500 x 729000
4 3 1250 x 739000
